idx,filename,category,sub_experiments,kind,model,surface,destination,notes
1,01-model-qa-022026-AIANT-2026-[Q&A].md,QA,QA,INSTRUMENT,(blank),-,TOP (test question),Q&A self-diagnostic template
2,01-model-qa-022026-AIANT-Reasoning-vs-Fab--2026.md,FAB,FAB,INSTRUMENT,(blank),-,TOP (test question),R1-R10 ladder template
3,01-model-qa-2026-04-07-codex-fab-reasoning-test.md,FAB,FAB,RESULT,GPT-5 Codex,code-agent,02-FAB-R-TEST,pure ladder run; stop R7-8
4,01-model-qa-2026-04-07-fab-reasoning-test-comparison.md,SYNTHESISED,FAB,RESULT,multi-model,mixed,results/,consolidated cross-model threshold table
5,01-model-qa-2026-04-07-gpt-5-codex-022026-AIANT-2026-QA.md,QA,QA,RESULT,GPT-5 Codex,code-agent,QA-results,filled self-diagnostic
6,01-model-qa-2026-04-07-gpt-5-codex-onboard-response.md,ONBOARD,ONBOARD,RESULT,GPT-5 Codex,code-agent,ONBOARD-results,response to onboard gate
7,01-model-qa-ClaudeCode.md,MIXED,SIGNAL+FAB+TECHNIQUE,RESULT,Claude Opus 4.6,CLI,combined-runs,signal+fab+technique; NO platform-honesty
8,01-model-qa-Gemini CLI.md,MIXED,QA+FAB+SIGNAL+TECHNIQUE+ONBOARD,RESULT,Gemini,CLI/API,combined-runs,6-entry; spans all five
9,01-model-qa-QWEN-CODE-AIANT-2026-SECTION1.md,TECHNIQUE,TECHNIQUE,RESULT,Qwen Code,code-agent,QA-results,technique-honesty section only
10,01-model-qa-QWEN-CODE-CLI-TECHNIQUE-2026.md,TECHNIQUE,TECHNIQUE+QA,RESULT,Qwen Code,CLI,QA-results,technique + contract
11,01-model-qa-Test1-Claude-sonnet-2026.md,MIXED,QA+FAB+SIGNAL+TECHNIQUE,RESULT,Claude Sonnet 4.6,chat,combined-runs,also embeds blank template (messy paste)
12,01-model-qa-Test1-Gemini-2026.md,MIXED,ONBOARD+QA+TECHNIQUE+FAB,RESULT,Gemini 3.1 Pro,chat,combined-runs,~25% each
13,01-model-qa-Test1-Grok4-2026.md,MIXED,ONBOARD+QA+TECHNIQUE+FAB,RESULT,Grok,chat,combined-runs,~25% each
14,01-model-qa-Test1-chat5.3-2026.md,QA,QA+TECHNIQUE,RESULT,GPT-5.3,chat,QA-results,no ladder; no contract
15,01-model-qa-Test1-chat5.md,ONBOARD,ONBOARD+SIGNAL,RESULT,GPT-5,chat,ONBOARD-results,xml/priority discussion
16,01-model-qa-Test1-claude-opus-4.6-qa-2026-03-08.md,MIXED,QA+FAB+SIGNAL+TECHNIQUE,RESULT,Claude Opus 4.6,chat?,combined-runs,fullest fill; signal-words ranked
17,01-model-qa-Test1-gpt5.4.md,MIXED,SIGNAL+TECHNIQUE+FAB,RESULT,GPT-5.4,chat,combined-runs,no contract; dup table block
18,01-model-qa-Test1-kimi-2026.md,MIXED,QA+FAB+TECHNIQUE,RESULT,Kimi K2.5,chat,combined-runs,contract signature WITHHELD
19,01-model-qa-Test1-qwen-code-2026.md,FAB,FAB,RESULT,Qwen Code,CLI,02-FAB-R-TEST,pure ladder; "This is where I stop"
20,01-model-qa-Test1-qwen-max.md,MIXED,QA+FAB,RESULT,Qwen MAX,API/chat,combined-runs,~70/30 QA/FAB
21,01-model-qa-Untitled.md,EMPTY,-,-,-,-,DELETE,0 bytes
22,01-model-qa-claude-opus-4.md,FAB,FAB,RESULT,Claude Opus 4,(unstated),02-FAB-R-TEST,ladder; stop ~95% fab
23,01-model-qa-cowork-2026-opus46-AIANT-FULL.md,QA,QA,RESULT,Claude Opus 4.6,Cowork,QA-results,Part 2/3 (context+platform+industry)
24,01-model-qa-cowork-2026-opus46-AIANT.md,QA,QA+TECHNIQUE,RESULT,Claude Opus 4.6,Cowork,QA-results,Part 1/3 (technique)
25,01-model-qa-cowork-2026-opus46-REASONING-DIAGNOSTIC.md,MIXED,QA+FAB,RESULT,Claude Opus 4.6,Cowork,combined-runs,Part 3/3 (reasoning ladder)
26,KIMI-K2.6,QA,QA+FAB,RESULT,Kimi K2.6,chat,QA-results,full self-diagnostic + final confession
27,ONBOARD(DO-FIRST).md,ONBOARD,ONBOARD,INSTRUMENT,(gate),-,TOP (test question),onboard gate (md)
28,ONBOARD(DO-FIRST).txt,ONBOARD,ONBOARD,INSTRUMENT,(gate),-,TOP (dup of #27 .txt),duplicate of 27
29,ONBOARD-ANALYSIS-2026-04-07.md,ONBOARD,ONBOARD,RESULT,Qwen Code,-,ONBOARD-results,+ ktg rebuttal annotations
30,ONBOARD-SNIPPET.md,ONBOARD,ONBOARD,INSTRUMENT,(gate-short),-,TOP (test question),short-form onboard
31,PAC.md,SIGNAL,SIGNAL,INSTRUMENT,(spec),-,TOP (test question),PAC26 PILLAR3 signal-word rankings = SIGNAL key
32,"claude-sonnet-4.6,md",FAB,FAB,RESULT,Claude Sonnet 4.6,(unstated),02-FAB-R-TEST,ladder; STOP rho_fab>50%
33,grok4.3,MIXED,QA+FAB,RESULT,Grok,chat/API,combined-runs,~70/30 QA/FAB; 2026-06-01
34,opus-4.6.md,MASTER,QA+FAB+SIGNAL+TECHNIQUE+PIQUE+MBTI,HYBRID,Claude Opus 4.6,chat,TOP (master handbook),blank instruments + filled answers; the source others respond to
35,opus-4.8-test,MIXED,QA+FAB,RESULT,Claude Opus 4.8,chat,combined-runs,~55/45; 2026-05-29
